%time,field.data
1439944287921530961,    3     8  1046   383  -230   -72   -59    65  -619

1439944287960999011,    1    10  1043   396  -232   -70   -58    69  -619

1439944288001192092,    3    10  1041   402  -230   -72   -58    67  -620

1439944288041604042,    4     9  1044   374  -230   -74   -57    67  -622

1439944288081557035,    4     8  1046   392  -234   -75   -57    66  -623

1439944288121813058,    2     9  1030   389  -235   -80   -58    64  -624

1439944288161216974,   -2     6  1038   381  -242   -71   -58    61  -628

1439944288201689958,   -2     8  1039   397  -229   -67   -59    59  -631

1439944288241461038,    3     8  1041   386  -247   -74   -61    55  -634

1439944288281929016,    2     9  1040   403  -229   -67   -62    51  -636

1439944288321373939,    4     8  1042   379  -229   -75   -71    46  -635

1439944288361617088,    3     7  1041   389  -231   -74   -69    48  -635

1439944288401799917,    5    11  1041   385  -235   -75   -67    50  -633

1439944288441385984,    5     9  1042   394  -225   -67   -66    52  -633

1439944288481456995,    4    10  1043   398  -230   -83   -65    54  -631

1439944288521867036,    5     7  1042   399  -223   -74   -65    52  -632

1439944288561237096,    2     8  1041   378  -229   -69   -65    54  -631

1439944288602057933,    2     8  1043   387  -228   -78   -64    53  -630

1439944288641480922,    3    10  1043   401  -227   -68   -63    55  -628

1439944288681051969,    2     9  1042   379  -230   -70   -64    55  -627

1439944288722055912,    1     9  1043   382  -235   -74   -62    57  -625

1439944288761981964,    2     9  1042   388  -234   -75   -62    60  -623

1439944288801629066,    2     8  1042   399  -235   -70   -61    61  -621

1439944288841521978,    1     8  1040   396  -239   -73   -60    64  -619

1439944288881370067,    5     7  1038   392  -236   -69   -58    66  -619

1439944288920618057,    3    11  1043   397  -227   -68   -58    67  -620

1439944288960237026,    5    10  1042   393  -218   -70   -57    67  -621

1439944289000433921,    3     8  1037   388  -240   -72   -56    66  -622

1439944289041615009,    0     8  1042   392  -233   -74   -58    65  -624

1439944289081563949,    0     9  1040   386  -231   -64   -58    62  -627

1439944289121613979,    3     9  1037   383  -239   -71   -59    61  -630

1439944289161417961,    0     9  1040   395  -230   -77   -60    57  -633

1439944289201736927,    2     8  1048   388  -231   -73   -74    41  -638

1439944289241591930,    5     9  1044   406  -220   -75   -72    45  -636

1439944289281456947,    4     7  1044   389  -231   -70   -69    48  -634

1439944289321908950,    3     9  1041   383  -224   -75   -68    49  -633

1439944289361783981,    4    10  1042   396  -231   -78   -67    51  -633

1439944289401679039,    7    10  1046   397  -235   -71   -65    52  -631

1439944289441584110,    3     9  1042   385  -237   -75   -65    54  -632

1439944289481524944,    3     7  1043   400  -235   -75   -64    53  -631

1439944289522141933,    0     8  1043   375  -248   -77   -64    54  -630

1439944289561708927,    1     8  1043   393  -224   -75   -65    54  -629

1439944289602307081,   -1     9  1041   388  -217   -67   -64    56  -629

1439944289642002105,    4     7  1043   395  -239   -71   -63    57  -627

1439944289681613922,    4     8  1043   385  -219   -70   -62    58  -624

1439944289721514940,    4    11  1041   386  -237   -73   -62    60  -623

1439944289761217117,   -2     9  1042   389  -235   -74   -61    62  -621

1439944289801162958,    4     9  1042   390  -239   -76   -59    64  -619

1439944289841200113,    5     7  1045   391  -239   -76   -59    66  -618

1439944289881217002,    3     9  1039   409  -222   -78   -58    68  -619

1439944289921684980,    3     7  1038   391  -225   -79   -56    66  -621

1439944289961764097,    1    10  1044   386  -237   -72   -57    67  -621

1439944290001127958,    2     7  1044   380  -227   -72   -57    65  -624

1439944290041253089,    1    10  1041   385  -236   -78   -58    63  -625

1439944290081679105,    4     8  1042   401  -233   -64   -59    59  -630

1439944290121977090,    3     8  1042   383  -234   -70   -59    57  -634

1439944290162018060,    4     8  1044   393  -232   -71   -73    40  -638

1439944290202085971,    5     9  1042   379  -225   -71   -72    44  -637

1439944290241218090,    4    10  1039   374  -244   -63   -69    48  -635

1439944290281312942,    2    10  1043   399  -227   -71   -68    49  -633

1439944290321501016,    4    11  1047   385  -231   -72   -67    50  -631

1439944290361551046,    5    10  1047   392  -224   -70   -66    52  -632

1439944290401424884,    3     8  1045   399  -244   -71   -65    53  -631

1439944290441426038,    5    10  1042   397  -232   -67   -64    54  -631

1439944290481504917,    2    10  1043   397  -236   -77   -64    53  -630

1439944290521246910,    4    10  1041   388  -232   -74   -63    55  -630

1439944290561218976,    3    10  1040   395  -228   -73   -64    55  -630

1439944290601716041,    1     8  1044   376  -234   -70   -63    57  -626

1439944290641282081,    1     9  1045   399  -225   -76   -63    58  -624

1439944290681382894,    2     7  1041   384  -233   -71   -61    60  -623

1439944290721611976,    0     8  1045   401  -224   -66   -61    62  -621

1439944290762073993,   -2     6  1042   396  -224   -67   -59    64  -619

1439944290801847934,    1     6  1045   388  -233   -73   -58    66  -617

1439944290841974973,    3     9  1035   385  -221   -74   -58    67  -619

