%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1443622458855770102,259348,1443622458855770102,world,-0.392642557621,-0.0664360448718,1.47608220577,-0.0469981133938,-0.00885163526982,-0.395422518253,0.917253434658
1443622458865697932,259349,1443622458865697932,world,-0.393377870321,-0.0659883096814,1.47535800934,-0.0412570498884,-0.00660407356918,-0.392354875803,0.918864488602
1443622458875690118,259350,1443622458875690118,world,-0.392599314451,-0.0656672790647,1.4753575325,-0.0423089191318,-0.0118911657482,-0.382886439562,0.922749578953
1443622458885755742,259351,1443622458885755742,world,-0.392096877098,-0.0653998479247,1.47513175011,-0.0417163483799,-0.0129661466926,-0.374723374844,0.926106989384
1443622458895717058,259352,1443622458895717058,world,-0.391449540854,-0.0648052245378,1.47455191612,-0.045954592526,-0.0145895760506,-0.364396005869,0.929995179176
1443622458905727499,259353,1443622458905727499,world,-0.390971690416,-0.0647051781416,1.47420191765,-0.0459332093596,-0.0190156698227,-0.355504155159,0.933351755142
1443622458915863198,259354,1443622458915863198,world,-0.390886127949,-0.0645146369934,1.47384417057,-0.044750329107,-0.0166895277798,-0.347909629345,0.936310708523
1443622458926006340,259355,1443622458926006340,world,-0.390514820814,-0.0643535926938,1.47416579723,-0.0420956611633,-0.0261500310153,-0.339760065079,0.939205646515
1443622458935710954,259356,1443622458935710954,world,-0.389763951302,-0.0643383041024,1.47366201878,-0.0428055375814,-0.0288878735155,-0.333174169064,0.941450119019
1443622458945714153,259357,1443622458945714153,world,-0.389539152384,-0.0639732256532,1.47326254845,-0.0437388420105,-0.0247939378023,-0.32561981678,0.944163143635
1443622458955685859,259358,1443622458955685859,world,-0.389100253582,-0.0632666796446,1.47274792194,-0.0408651717007,-0.026678679511,-0.318648159504,0.946615934372
1443622458965887592,259359,1443622458965887592,world,-0.388457506895,-0.0628893375397,1.47233259678,-0.0406646206975,-0.0289708711207,-0.311326026917,0.948990643024
1443622458975956045,259360,1443622458975956045,world,-0.388102531433,-0.0625085905194,1.47202932835,-0.0405764132738,-0.0287234131247,-0.305753082037,0.950812101364
1443622458985756454,259361,1443622458985756454,world,-0.387217283249,-0.0622051954269,1.47205114365,-0.0377635024488,-0.0253715626895,-0.303190201521,0.951843440533
1443622458995647179,259362,1443622458995647179,world,-0.386453956366,-0.0619041249156,1.47149443626,-0.0411006361246,-0.0263624601066,-0.292998254299,0.954865336418
1443622459005672979,259363,1443622459005672979,world,-0.386231541634,-0.0617269650102,1.47100102901,-0.0418870523572,-0.0355827659369,-0.28440335393,0.957128047943
1443622459015886189,259364,1443622459015886189,world,-0.385702818632,-0.0609608516097,1.47059726715,-0.042793367058,-0.036995049566,-0.276635318995,0.959308683872
1443622459025656075,259365,1443622459025656075,world,-0.384927332401,-0.0605918876827,1.46977376938,-0.0417694039643,-0.0384157001972,-0.267085582018,0.96200042963
1443622459036062231,259366,1443622459036062231,world,-0.384935826063,-0.0604686103761,1.47010076046,-0.0481971986592,-0.0355597957969,-0.261450409889,0.963356852531
1443622459046270574,259367,1443622459046270574,world,-0.384052962065,-0.0601588189602,1.46940565109,-0.0447618588805,-0.0396475158632,-0.251464515924,0.966017663479
1443622459055856073,259368,1443622459055856073,world,-0.383005440235,-0.0596291869879,1.46914196014,-0.0424433872104,-0.0371765755117,-0.247635930777,0.967208862305
1443622459065916589,259369,1443622459065916589,world,-0.382312983274,-0.0592677779496,1.46884226799,-0.0420637242496,-0.0362851768732,-0.242245286703,0.968623459339
1443622459075887122,259370,1443622459075887122,world,-0.382528066635,-0.0592715926468,1.46875727177,-0.0426876097918,-0.0395426079631,-0.232607364655,0.970828592777
1443622459085827934,259371,1443622459085827934,world,-0.381747931242,-0.0590030811727,1.46872341633,-0.0408259816468,-0.0400537215173,-0.226144745946,0.972413241863
1443622459095910183,259372,1443622459095910183,world,-0.380717545748,-0.0585038587451,1.468552351,-0.0394527502358,-0.0403539165854,-0.219244137406,0.974036514759
1443622459105803724,259373,1443622459105803724,world,-0.380449593067,-0.058506321162,1.46803164482,-0.0407809056342,-0.0374761559069,-0.206665277481,0.976842880249
