%time,field.data
1439976728319778919,    2     8  1032   427  -193   -86   125   -54  -427

1439976728359505891,    5     9  1037   436  -193   -83   125   -56  -428

1439976728398855924,    2    10  1032   444  -203   -85   125   -55  -429

1439976728438786029,    3    10  1032   448  -206   -93   125   -55  -429

1439976728479010105,    4    11  1033   446  -189   -89   125   -54  -430

1439976728519062042,    2     9  1031   454  -191   -83   124   -53  -429

1439976728560971021,   10     2  1029   694   419   -64   125   -54  -429

1439976728601439952,   93   122  1120 -2536  2400     2   135   -49  -431

1439976728640479087, -136  -158  1635 -1815 -2071  -359   134   -38  -434

1439976728679657936,  -50   -42  1264 -1020  1001  -451   133   -32  -436

1439976728720432996,  -40    19  1110 -2557  2065  -914   144   -22  -438

1439976728759536027, -192  -226  1381  1013  1259 -1428   155   -22  -437

1439976728799761056, -149  -172  1108   549   656 -1152   159   -28  -434

1439976728840174913, -197  -120  1228 -1355  2668  -855   165   -27  -434

1439976728881139039, -209  -202  1113 -3495  5572   607   190   -15  -433

1439976728920181035, -315   -84   899  1927  1085 -1561   203   -11  -431

1439976728959744930, -207  -426  1181 -1397  2656 -1817   218   -17  -424

1439976728998842000, -240  -217   993  -267  1411 -4791   235    -6  -421

1439976729038945913, -271  -222  1166  1465 -5760 -1660   226    -9  -422

1439976729078952074, -209  -256   981   -32 -6414 -2891   199    -9  -428

1439976729119745969,   10  -188   911  3067 -3214 -2607   180   -13  -430

1439976729160444021,  -15   -82  1054  4620 -1744 -2465   172   -33  -423

1439976729199810028,   39   -85  1131  2059 -3739   372   161   -48  -419

1439976729242082118,   25  -179   877  1990 -3467  -923   144   -59  -417

1439976729279947996,   77   -57   942  2460 -1466   171   133   -69  -413

1439976729320168018,   69   -45   976  3123 -1516   761   126   -83  -406

1439976729359875917,   75    15   919  3475 -1488   525   117   -99  -400

1439976729399723052,  129    21   965  2044  -725   642   110  -110  -393

1439976729439805984,  115    45   875  1990 -1866     0   103  -118  -390

1439976729479888916,  177   147   890  1536  -840   230   100  -124  -385

1439976729520867109,  190   103   880   896  -822  1167    94  -128  -382

1439976729560409069,  192   111   920  1079   123  1610    90  -131  -380

1439976729599145889,  242    31   915  1285  -548   967    86  -135  -376

1439976729638883113,  245    59   897   387    78  1101    81  -137  -377

1439976729678865909,  202    78   949   242  -442   -44    80  -136  -375

1439976729719839096,  236    98   949  -317  -168   538    78  -134  -377

1439976729760175943,  189    59   981   260   383   891    78  -132  -377

1439976729799839019,  167     6  1119  1207   911  1237    78  -135  -374

1439976729840120077,  196    -6  1186  -792 -2877  -668    79  -137  -374

1439976729880067110,  183   284   920   701 -1262 -2092    73  -133  -375

1439976729919800996,  235    79   950  -349  -454  1154    70  -135  -377

1439976729960181951,  158   -80   895 -1923    30 -1787    67  -130  -379

1439976729999969959,  224   252  1129  -347   971  -152    77  -123  -382

1439976730040139913,  161     1  1049  -779  -130    13    77  -122  -383

1439976730079993009,  218    94  1048   275   -18   549    76  -117  -384

1439976730120069980,  200    78  1173  1896  1134  -896    80  -121  -382

1439976730159672021,  198   141  1077  -408  4237  1006    90  -123  -378

1439976730198962926,   -1   -66  1119   130  1648  3078   100  -121  -379

1439976730238837003,   51   127  1071 -1229  -215  3596    92  -118  -382

1439976730278867006,   87    10  1008    70   361  1529    88  -114  -384

1439976730319117069,  -80  -117  1037   434  -180  1810    87  -114  -383

1439976730360920906,   37   181   722 -6303 -1651  4718    76   -97  -392

1439976730400902986,  136   186   679 -6516   894  3215    70   -64  -407

1439976730440062046, -181    81   613 -2718 -1302   106    73   -42  -414

1439976730480312108,  295  -852   755   358 -2340 -3462    67   -34  -415

1439976730520294904,  111  -230   771  1984 -1385  1056    59   -39  -413

1439976730561121940,  238  -244   847  3029 -1258   364    52   -49  -411

1439976730599962949,  229  -147   884   692  -217  1469    49   -54  -409

1439976730639970064,  149  -238   923  1190   424  2608    47   -56  -409

1439976730679791927,   79  -109   988   875   -38  2214    44   -59  -407

1439976730719799041,  137  -259  1025    51  -343  1421    40   -56  -407

